CODE,Location Name,lat,lon,Latitude/Longitude
B26,KOGILU BRANCH,13.1052,77.6178,"13.1052,77.6178"
B27,HOSUR BRANCH,12.75013404,77.7943002,"12.75013404,77.7943002"
B32,GOA PANJIM BRANCH,15.488056,73.856111,"15.488056,73.856111"
B34,CORPORATE STORES - SIRSI CIRCLE BRANCH,12.9621,77.5584,"12.9621,77.5584"
B35,WHITE FIELD BRANCH,12.989308,77.695614,"12.989308,77.695614"
B36,BANGALORE NELAMANGALA APEX,13.06799001,77.45002405,"13.06799001,77.45002405"
B113,ATTIBELE APEX,12.79177099,77.72562365,"12.79177099,77.72562365"
B38,SHIMOGA SORTING OFFICE,13.93981918,75.53812224,"13.93981918,75.53812224"
B39,SIRSI BRANCH OFFICE,14.609508,74.843485,"14.609508,74.843485"
B41,BAGALKOT SORTING OFFICE,16.1861287,75.7006506,"16.1861287,75.7006506"
B42,BIJAPUR SORTING OFFICE,16.83458328,75.71536255,"16.83458328,75.71536255"
B43,TUMKUR SORTING OFFICE,13.34813135,77.10770009,"13.34813135,77.10770009"
B44,BANGALORE AIRPORT BRANCH,12.95917606,77.65560512,"12.95917606,77.65560512"
B47,BELLARY SORTING OFFICE,15.15456465,76.93430121,"15.15456465,76.93430121"
B50,DAVANGERE BRANCH,14.45819985,75.93869766,"14.45819985,75.93869766"
B51,MARGAO BRANCH,15.28476,73.979993,"15.28476,73.979993"
B53,UDUPI NODAL POINT,13.341759,74.759844,"13.341759,74.759844"
B58,DOMLUR BRANCH,12.95462894,77.64167023,"12.95462894,77.64167023"
B59,SARAKKI BRANCH,12.910815,77.578157,"12.910815,77.578157"
B61,NERALURU BRANCH,12.79177099,77.72562365,"12.79177099,77.72562365"
B62,BIDAR SORTING OFFICE,17.9214888,77.5081307,"17.9214888,77.5081307"
B63,RAICHUR SORTING OFFICE,16.216917,77.35775,"16.216917,77.35775"
B64,CHIKMAGALUR BRANCH,13.30763626,75.79417419,"13.30763626,75.79417419"
B65,VERNA BRANCH,15.373485,73.92967,"15.373485,73.92967"
B68,HOSKOTE BRANCH,13.0771846,77.80560124,"13.0771846,77.80560124"
B95,MANDYA NODAL POINT,12.525561,76.887468,"12.525561,76.887468"
C02,PONDICHERRY BRANCH,11.946191,79.777866,"11.946191,79.777866"
C08,KATPADI BRANCH,12.93120167,79.13423333,"12.93120167,79.13423333"
C13,GUINDY BRANCH,13.01608,80.21167,"13.01608,80.21167"
C14,AMINJIKARAI BRANCH,13.069909,80.222846,"13.069909,80.222846"
C15,PARRYS BRANCH,13.09632,80.29147,"13.09632,80.29147"
C20,VELAPPANCHAVADI APEX,13.0633359,80.139097,"13.0633359,80.139097"
C22,VILLUPURAM BRANCH,11.9280556,79.48025,"11.9280556,79.48025"
C30,TAMBARAM MASTER FRANCHISEE,12.9256,80.10312,"12.9256,80.10312"
C35,CHENNAI INTERNATIONAL BRANCH,13.0633359,80.139097,"13.0633359,80.139097"
C36,ELDAMS ROAD BRANCH,13.03911,80.25107,"13.03911,80.25107"
C37,AMBATTUR BRANCH,13.09959,80.17181,"13.09959,80.17181"
C38,PORUR BRANCH,13.03247784,80.15710585,"13.03247784,80.15710585"
C41,GEC CHENNAI,13.0633359,80.139097,"13.0633359,80.139097"
C42,GUINDY APEX,13.05947836,80.13138739,"13.05947836,80.13138739"
C47,PALLIKKARANAI MASTER FRANCHISEE,12.94225,80.20616667,"12.94225,80.20616667"
C48,MADHAVARAM BRANCH,13.15025,80.22126,"13.15025,80.22126"
C50,SRM - POTHERI SUPER FRANCHISEE,12.82974,80.04505,"12.82974,80.04505"
C53,SREEPERUMBADHUR BRANCH,12.96840412,79.95363754,"12.96840412,79.95363754"
C54,CHENNAI DP PROCESSING CENTRE APEX,13.0633359,80.139097,"13.0633359,80.139097"
C57,CHENGALPET BRANCH,12.69987,79.96918,"12.69987,79.96918"
C59,KANCHEEPURAM BRANCH,12.83647045,79.7125383,"12.83647045,79.7125383"
C60,SRI CITY BRANCH,13.57028,80.03544,"13.57028,80.03544"
C73,GUMMIDIPOONDI BRANCH,13.40894,80.12071,"13.40894,80.12071"
E01,COIMBATORE APEX,11.017391,76.98321,"11.017391,76.98321"
E02,TIRUPUR BRANCH,11.10782426,77.32839594,"11.10782426,77.32839594"
E03,ERODE BRANCH,11.345784,77.640083,"11.345784,77.640083"
E04,SALEM APEX,11.6476208,78.1225439,"11.6476208,78.1225439"
E05,KARUR BRANCH,10.962204,78.060505,"10.962204,78.060505"
E06,TRICHY BRANCH,10.80083672,78.70687294,"10.80083672,78.70687294"
E07,DINDIGUL BRANCH,10.36984208,77.95070109,"10.36984208,77.95070109"
E08,MADURAI APEX,9.9160699,78.0999871,"9.9160699,78.0999871"
E09,TIRUNELVELI BRANCH,8.723193292,77.72106845,"8.723193292,77.72106845"
E10,TUTICORIN BRANCH,8.807496667,78.14142833,"8.807496667,78.14142833"
E11,NAGERCOILBRANCH,8.193834,77.442241,"8.193834,77.442241"
E13,COIMBATORE SCS APEX,11.051994,77.075771,"11.051994,77.075771"
E14,SALEM SCS APEX,11.6476208,78.1225439,"11.6476208,78.1225439"
E16,KRISHNAGIRI BRANCH,12.52387243,78.21039917,"12.52387243,78.21039917"
E20,SIVAKASI BRANCH,9.46405,77.79675,"9.46405,77.79675"
E21,COIMBATORE GANAPATHY BRANCH,11.043335,76.9855661,"11.043335,76.9855661"
E23,THANJAVUR BRANCH,10.7784691,79.1668871,"10.7784691,79.1668871"
E24,THENI BRANCH,10.008256,77.478499,"10.008256,77.478499"
H07,BASHEERBAGH BRANCH,17.4067876,78.4778127,"17.4067876,78.4778127"
H08,BANJARAHILLS MASTER FRANCHISEE,17.4281551,78.4182351,"17.4281551,78.4182351"
H09,BALANAGAR BRANCH,17.47813,78.426128,"17.47813,78.426128"
H10,BEGUMPET BRANCH,17.4451241,78.4626917,"17.4451241,78.4626917"
H11,KARMANGHAT BRANCH,17.3388089,78.53665725,"17.3388089,78.53665725"
H13,HYDERABAD SHAMSHABAD APEX,17.25955818,78.37652436,"17.25955818,78.37652436"
